Geography,year,Life Expectancy at Birth
United Arab Emirates,2018,77.8
Yemen,2018,66.1
Zambia,2018,63.5
Zimbabwe,2018,61.2
North America,2018,79.0
Canada,2018,82.0
USA,2018,78.6
Western Europe,2018,81.7
Austria,2018,81.8
Belgium,2018,81.7
Cyprus,2018,82.9
Denmark,2018,81.0
Finland,2018,81.8
France,2018,82.8
Germany,2018,81.0
Greece,2018,81.9
Iceland,2018,82.9
Ireland,2018,82.2
Italy,2018,83.4
Liechtenstein,2018,83.1
Luxembourg,2018,82.3
Malta,2018,82.5
Netherlands,2018,81.9
Norway,2018,82.8
Portugal,2018,81.5
Spain,2018,83.5
Sweden,2018,82.6
Switzerland,2018,83.8
Turkey,2018,78.9
United Kingdom,2018,81.3
Asia Pacific,2019,73.3
Afghanistan,2019,64.8
Armenia,2019,76.5
Azerbaijan,2019,76.4
Bangladesh,2019,72.6
Bhutan,2019,71.8
Brunei Darussalam,2019,75.9
Cambodia,2019,69.8
China,2019,76.9
Fiji,2019,67.4
French Polynesia,2019,77.7
Guam,2019,80.1
"Hong Kong, China",2019,85.1
India,2019,69.7
Indonesia,2019,71.7
Japan,2019,84.4
Kazakhstan,2019,73.2
Kiribati,2019,68.4
Kyrgyzstan,2019,71.6
Laos,2019,67.9
"Macau, China",2019,84.2
Malaysia,2019,76.2
Maldives,2019,78.9
Mongolia,2019,69.9
Myanmar,2019,67.1
Nepal,2019,70.8
New Caledonia,2019,77.6
North Korea,2019,72.3
Pakistan,2019,67.3
Papua New Guinea,2019,64.5
Philippines,2019,71.2
Samoa,2019,73.3
Singapore,2019,83.5
Solomon Islands,2019,73.0
South Korea,2019,83.2
Sri Lanka,2019,77.0
Taiwan,2019,81.0
Tajikistan,2019,71.1
Thailand,2019,77.2
Tonga,2019,70.9
Turkmenistan,2019,68.2
Uzbekistan,2019,71.7
Vanuatu,2019,70.5
Vietnam,2019,75.4
Australasia,2019,82.7
Australia,2019,82.9
New Zealand,2019,81.7
Eastern Europe,2019,74.6
Albania,2019,79.1
Belarus,2019,74.2
Bosnia and Herzegovina,2019,77.4
Bulgaria,2019,75.1
Croatia,2019,78.6
Czech Republic,2019,79.3
Estonia,2019,79.0
Georgia,2019,73.8
Hungary,2019,76.5
Kosovo,2019,72.2
Latvia,2019,75.7
Lithuania,2019,76.5
Moldova,2019,70.7
Montenegro,2019,76.7
North Macedonia,2019,76.6
Poland,2019,78.0
Romania,2019,75.6
Russia,2019,73.3
Serbia,2019,76.0
Slovakia,2019,77.8
Slovenia,2019,81.6
Ukraine,2019,72.1
Latin America,2019,75.6
Antigua and Barbuda,2019,77.0
Argentina,2019,76.7
Aruba,2019,76.3
Bahamas,2019,73.9
Barbados,2019,79.2
Belize,2019,74.6
Bolivia,2019,71.5
Brazil,2019,75.9
Chile,2019,80.2
Colombia,2019,77.3
Costa Rica,2019,80.3
Cuba,2019,78.8
Curacao,2019,78.9
Dominican Republic,2019,74.1
Ecuador,2019,77.0
El Salvador,2019,73.3
French Guiana,2019,80.0
Grenada,2019,72.4
Guadeloupe,2019,82.1
Guatemala,2019,74.3
Guyana,2019,69.9
Haiti,2019,64.0
Honduras,2019,75.3
Jamaica,2019,74.5
Martinique,2019,82.5
Mexico,2019,75.1
Nicaragua,2019,74.5
Panama,2019,78.5
Paraguay,2019,74.3
Peru,2019,76.7
Puerto Rico,2019,80.1
St Lucia,2019,76.2
St Vincent and the Grenadines,2019,72.5
Suriname,2019,71.7
Trinidad and Tobago,2019,73.5
Uruguay,2019,77.9
US Virgin Islands,2019,80.6
Venezuela,2019,72.1
Middle East and Africa,2019,65.3
Algeria,2019,76.9
Angola,2019,61.1
Bahrain,2019,77.3
Benin,2019,61.8
Botswana,2019,69.6
Burkina Faso,2019,61.6
Burundi,2019,61.6
Cabo Verde,2019,73.0
Cameroon,2019,59.3
Central African Republic,2019,53.3
Chad,2019,54.2
Comoros,2019,64.3
"Congo, Democratic Republic",2019,60.7
Congo-Brazzaville,2019,64.6
Côte d'Ivoire,2019,57.8
Djibouti,2019,67.1
Egypt,2019,72.0
Equatorial Guinea,2019,58.7
Eritrea,2019,66.3
Eswatini,2019,60.2
Ethiopia,2019,66.6
Gabon,2019,66.5
Gambia,2019,62.1
Ghana,2019,64.1
Guinea,2019,61.6
Guinea-Bissau,2019,58.3
Iran,2019,76.7
Iraq,2019,70.6
Israel,2019,82.8
Jordan,2019,74.5
Kenya,2019,66.7
Kuwait,2019,75.5
Lebanon,2019,78.9
Lesotho,2019,54.3
Liberia,2019,64.1
Libya,2019,72.9
Madagascar,2019,67.0
Malawi,2019,64.3
Mali,2019,59.3
Mauritania,2019,64.9
Mauritius,2019,75.0
Morocco,2019,76.7
Mozambique,2019,60.9
Namibia,2019,63.7
Niger,2019,62.4
Nigeria,2019,54.7
Oman,2019,77.9
Qatar,2019,80.2
Réunion,2019,80.5
Rwanda,2019,69.0
Sao Tomé e Príncipe,2019,70.4
Saudi Arabia,2019,75.1
Senegal,2019,67.9
Seychelles,2019,73.4
Sierra Leone,2019,54.7
Somalia,2019,57.4
South Africa,2019,64.1
South Sudan,2019,57.8
Sudan,2019,65.3
Syria,2019,72.7
Tanzania,2019,65.5
Togo,2019,61.0
Tunisia,2019,76.7
Uganda,2019,63.4
United Arab Emirates,2019,78.0
Yemen,2019,66.1
Zambia,2019,63.9
Zimbabwe,2019,61.5
North America,2019,79.1
Canada,2019,82.0
USA,2019,78.8
Western Europe,2019,81.9
Austria,2019,82.0
Belgium,2019,82.1
Cyprus,2019,82.3
Denmark,2019,81.5
Finland,2019,82.1
France,2019,83.0
Germany,2019,81.3
Greece,2019,81.7
Iceland,2019,83.2
Ireland,2019,82.8
Italy,2019,83.6
Liechtenstein,2019,84.3
Luxembourg,2019,82.7
Malta,2019,82.9
Netherlands,2019,82.2
Norway,2019,83.0
Portugal,2019,81.9
Spain,2019,84.0
Sweden,2019,83.2
Switzerland,2019,84.0
Turkey,2019,79.1
United Kingdom,2019,81.4
Asia Pacific,2020,73.2
Afghanistan,2020,65.2
Armenia,2020,76.6
Azerbaijan,2020,76.3
Bangladesh,2020,72.9
Bhutan,2020,72.1
Brunei Darussalam,2020,76.0
Cambodia,2020,70.1
China,2020,76.7
Fiji,2020,67.6
French Polynesia,2020,77.8
Guam,2020,80.3
"Hong Kong, China",2020,84.9
India,2020,69.4
Indonesia,2020,71.9
Japan,2020,84.5
Kazakhstan,2020,73.0
Kiribati,2020,68.6
Kyrgyzstan,2020,71.7
Laos,2020,68.2
"Macau, China",2020,84.4
Malaysia,2020,76.3
Maldives,2020,79.2
Mongolia,2020,70.1
Myanmar,2020,67.4
Nepal,2020,71.1
New Caledonia,2020,77.7
North Korea,2020,72.5
Pakistan,2020,67.4
Papua New Guinea,2020,64.7
Philippines,2020,71.4
Samoa,2020,73.5
Singapore,2020,83.4
Solomon Islands,2020,73.1
South Korea,2020,83.1
Sri Lanka,2020,77.1
Taiwan,2020,81.1
Tajikistan,2020,71.3
Thailand,2020,77.3
Tonga,2020,71.0
Turkmenistan,2020,68.3
Uzbekistan,2020,71.8
Vanuatu,2020,70.6
Vietnam,2020,75.5
Australasia,2020,82.9
Australia,2020,83.0
New Zealand,2020,81.9
Eastern Europe,2020,74.1
Albania,2020,79.2
Belarus,2020,74.1
Bosnia and Herzegovina,2020,77.3
Bulgaria,2020,73.6
Croatia,2020,77.8
Czech Republic,2020,78.3
Estonia,2020,78.6
Georgia,2020,73.6
Hungary,2020,75.7
Kosovo,2020,72.4
Latvia,2020,75.7
Lithuania,2020,75.1
Moldova,2020,70.8
Montenegro,2020,76.8
North Macedonia,2020,76.5
Poland,2020,76.6
Romania,2020,74.2
Russia,2020,73.2
Serbia,2020,75.9
Slovakia,2020,76.9
Slovenia,2020,80.6
Ukraine,2020,71.9
Latin America,2020,75.5
Antigua and Barbuda,2020,77.1
Argentina,2020,76.5
Aruba,2020,76.4
Bahamas,2020,74.1
Barbados,2020,79.3
Belize,2020,74.8
Bolivia,2020,71.3
Brazil,2020,75.7
Chile,2020,80.0
Colombia,2020,77.1
Costa Rica,2020,80.1
Cuba,2020,78.9
Curacao,2020,79.0
Dominican Republic,2020,74.3
Ecuador,2020,76.8
El Salvador,2020,73.5
French Guiana,2020,80.1
Grenada,2020,72.4
Guadeloupe,2020,82.3
Guatemala,2020,74.1
Guyana,2020,70.0
Haiti,2020,64.3
Honduras,2020,75.4
Jamaica,2020,74.6
Martinique,2020,82.7
Mexico,2020,75.0
Nicaragua,2020,74.7
Panama,2020,78.7
Paraguay,2020,74.4
Peru,2020,76.5
Puerto Rico,2020,80.3
St Lucia,2020,76.3
St Vincent and the Grenadines,2020,72.7
Suriname,2020,71.8
Trinidad and Tobago,2020,73.6
Uruguay,2020,77.8
US Virgin Islands,2020,80.7
Venezuela,2020,72.1
Middle East and Africa,2020,65.5
Algeria,2020,77.1
Angola,2020,61.5
Bahrain,2020,77.2
Benin,2020,62.1
Botswana,2020,69.8
Burkina Faso,2020,62.0
Burundi,2020,61.9
Cabo Verde,2020,73.2
Cameroon,2020,59.6
Central African Republic,2020,53.7
Chad,2020,54.5
Comoros,2020,64.5
"Congo, Democratic Republic",2020,61.0
Congo-Brazzaville,2020,64.8
Côte d'Ivoire,2020,58.1
Djibouti,2020,67.5
Egypt,2020,71.8
Equatorial Guinea,2020,59.1
Eritrea,2020,66.7
Eswatini,2020,60.7
Ethiopia,2020,67.0
Gabon,2020,66.7
Gambia,2020,62.4
Ghana,2020,64.3
Guinea,2020,62.0
Guinea-Bissau,2020,58.6
Iran,2020,76.9
Iraq,2020,70.7
Israel,2020,82.7
Jordan,2020,74.7
Kenya,2020,67.0
Kuwait,2020,75.4
Lebanon,2020,79.0
Lesotho,2020,54.8
Liberia,2020,64.4
Libya,2020,73.1
Madagascar,2020,67.4
Malawi,2020,64.7
Mali,2020,59.7
Mauritania,2020,65.1
Mauritius,2020,75.1
Morocco,2020,76.9
Mozambique,2020,61.4
Namibia,2020,64.0
Niger,2020,62.8
Nigeria,2020,55.0
Oman,2020,77.6
Qatar,2020,80.1
Réunion,2020,80.8
Rwanda,2020,69.3
Sao Tomé e Príncipe,2020,70.6
Saudi Arabia,2020,75.3
Senegal,2020,68.2
Seychelles,2020,73.5
Sierra Leone,2020,55.1
Somalia,2020,57.7
South Africa,2020,63.9
South Sudan,2020,58.1
Sudan,2020,65.5
Syria,2020,73.7
Tanzania,2020,65.8
Togo,2020,61.3
Tunisia,2020,76.5
Uganda,2020,63.7
United Arab Emirates,2020,77.8
Yemen,2020,66.2
Zambia,2020,64.2
Zimbabwe,2020,61.7
North America,2020,79.1
Canada,2020,81.9
USA,2020,78.7
Western Europe,2020,81.3
Austria,2020,81.3
Belgium,2020,80.9
Cyprus,2020,82.3
Denmark,2020,81.4
Finland,2020,82.0
France,2020,82.3
Germany,2020,81.1
Greece,2020,81.2
Iceland,2020,83.1
Ireland,2020,82.6
Italy,2020,82.4
Liechtenstein,2020,81.9
Luxembourg,2020,81.8
Malta,2020,82.6
Netherlands,2020,81.5
Norway,2020,83.3
Portugal,2020,81.1
Spain,2020,82.4
Sweden,2020,82.4
Switzerland,2020,83.2
Turkey,2020,78.9
United Kingdom,2020,81.3
Asia Pacific,2021,73.1
Afghanistan,2021,65.5
Armenia,2021,76.8
Azerbaijan,2021,76.4
Bangladesh,2021,73.1
Bhutan,2021,72.4
Brunei Darussalam,2021,76.1
Cambodia,2021,70.3
China,2021,76.6
Fiji,2021,67.7
French Polynesia,2021,78.0
Guam,2021,80.5
"Hong Kong, China",2021,84.8
India,2021,69.2
Indonesia,2021,72.1
Japan,2021,84.4
Kazakhstan,2021,72.8
Kiribati,2021,68.8
Kyrgyzstan,2021,71.9
Laos,2021,68.5
"Macau, China",2021,84.5
Malaysia,2021,76.2
Maldives,2021,79.5
Mongolia,2021,70.2
Myanmar,2021,67.6
Nepal,2021,71.3
New Caledonia,2021,77.9
North Korea,2021,72.6
Pakistan,2021,67.6
Papua New Guinea,2021,64.9
Philippines,2021,71.5
Samoa,2021,73.6
Singapore,2021,83.2
Solomon Islands,2021,73.2
South Korea,2021,82.9
Sri Lanka,2021,77.3
Taiwan,2021,81.0
Tajikistan,2021,71.5
Thailand,2021,77.5
Tonga,2021,71.1
Turkmenistan,2021,68.4
Uzbekistan,2021,71.9
Vanuatu,2021,70.8
Vietnam,2021,75.6
Australasia,2021,83.0
Australia,2021,83.2
New Zealand,2021,82.0
Eastern Europe,2021,74.2
Albania,2021,79.3
